name,filt_mean,filt_std,filt_median,filt_IQR,filt_max,filt_min,raw_mean,raw_std,raw_median,raw_IQR,raw_max,raw_min,apg_mean,apg_std,apg_median,apg_IQR,apg_max,apg_min,vpg_mean,vpg_std,vpg_median,vpg_IQR,vpg_max,vpg_min,jpg_mean,jpg_std,jpg_median,jpg_IQR,jpg_max,jpg_min
S039_128,-0.0001568458293798911,5.659703174163765,0.009109752998456351,2.1979979373108516,78.55261124582495,-117.08737057391414,5.1205616312600525e-15,8.520956416704228,0.0640910463861447,2.405014348171855,168.062286203,-167.414698067466,8.282930686491075e-08,0.03836001756752877,-0.00034892470944217213,0.010842448745751854,0.9478914609111584,-0.816871823920037,1.3587527097783842e-06,0.3910208880037062,-0.02186255471358578,0.1277605425269137,8.759934094714335,-9.624205565938588,6.9429014861432546e-09,0.0047326070271118655,6.609897221619698e-05,0.0011107272415779197,0.11887497548940695,-0.1056142740287287
S040_128,-5.548178338580551e-05,1.1422935500340996,0.0031936842606250064,1.2916644904010037,9.224007687797462,-9.255888030091937,1.2332959817964858e-15,1.6096083891563147,-0.10927313172781,1.840259452087707,11.9023928246983,-11.9375151933749,1.6638873423932824e-08,0.009165063380097182,-0.00017982480617001473,0.010937800036611614,0.07616783019583129,-0.07038446217175687,-1.0536195489718773e-06,0.08826046218652413,-0.01169067576838273,0.10801288646893382,0.7469027201657277,-0.6316329755886028,1.8463627756072123e-09,0.0011399070920039985,3.504922648504133e-05,0.0012225912078139174,0.0102015197321427,-0.010529204281349097
S041_128,-5.5427051402419745e-05,1.363471194817193,-0.06595187087995416,1.7387295487699779,10.98740521431442,-14.016429377031251,-3.462518236354844e-15,1.7026788221639242,-0.015949047073568298,2.000817391697753,14.6864651986517,-13.4803277310718,3.3991908689160605e-08,0.013134919957081641,7.20963053902901e-05,0.017136061319024613,0.09636974496330364,-0.09294882117806513,-4.1725746895007847e-07,0.11599156981440724,-0.016799262909985173,0.1500710959597084,0.8781954208333005,-1.0719288632538184,4.631597675723266e-09,0.0017644826976090215,3.742298443561512e-05,0.0026543156149920833,0.01344707902566919,-0.012108241415000887
S042_128,-2.557287674433266e-05,11.74460444241794,-0.06779395810248875,2.8053097093422923,236.0707630307873,-174.69945061284398,-7.52420324526762e-15,15.961460521917685,-0.0357139255376124,2.94178757503207,284.231417760909,-262.161817681247,1.0195569366847545e-08,0.07988189659867709,0.00020888982388390497,0.02348668719578545,1.3387441067176908,-1.622881378165303,-9.583282775506262e-07,0.8295389951034714,-0.014509612380865788,0.2188451138620413,16.319787918505376,-16.569423942327425,1.8791162508629815e-09,0.009638387854317457,2.0031255726860042e-05,0.0030322599052894778,0.15874769701433022,-0.15004996999968157
S043_128,-0.0001029350300966576,2.9370573802639566,0.02678867329038445,1.6833488743020961,42.94960016262145,-69.88811483141802,-5.8023887833620465e-15,3.9707803885389317,0.000593814339147583,2.016265139939944,70.7656923464925,-80.7897548960833,1.384005083210851e-08,0.024051800736746204,-0.00013988287893995643,0.010153882297278122,0.43609708982294393,-0.4253462183065846,-3.437663307937695e-07,0.22791715430429949,-0.019499425580412122,0.1116314136964877,3.930583667127568,-5.223474703726853,2.2505514627292726e-08,0.003063177462953776,5.7787874677431295e-05,0.0011254240301019625,0.05585625655878079,-0.053584101780031146
S044_128,-0.00021389003463360696,1.3944553800064647,-0.06318103786452789,1.6557117170791402,8.00759748154815,-9.535513963213628,-8.371716084971004e-15,1.7845907737016113,-0.034727467010843144,2.00813209764792,14.790865093645,-14.902318775454,4.420065881800952e-09,0.012026302742144404,-0.00019754713246594377,0.013250285858976862,0.08858569680168826,-0.09687943067126459,-2.611077736012431e-06,0.11233490972649686,-0.013335876089695338,0.11976424720603136,0.8061089555596055,-0.836566488596199,1.0198368259389624e-08,0.0015245512989394397,4.4387528523277126e-05,0.001705813955833857,0.012488625121885089,-0.01195550959515973
S045_128,-6.276349984725665e-05,2.9253760443821655,-0.006931938653142334,1.9474734417236776,42.399012741474735,-43.4336110255248,-9.141669461161551e-16,3.91006329289195,-0.0325328564659939,2.366750857737145,41.0536378108517,-63.1963084057702,3.0076324378353876e-08,0.016339338409652102,6.920956871353523e-06,0.010528521573753512,0.2662878776977067,-0.20890750964253257,6.910074233618755e-07,0.18435320816545453,-0.017755829380891375,0.1204619985225841,2.621973216025161,-2.5938394663001345,3.2330969559052744e-09,0.0018968452275730332,5.056812101367214e-05,0.0011251197700724268,0.030266015328634488,-0.028982316448487477
S046_128,-1.707340466015068e-05,1.745071963070824,-0.028207686226308187,2.011272120186437,15.484565341058245,-19.34513904192977,5.382968676445205e-15,2.2502545993249625,-0.005037766264334765,2.2032075226696524,27.074564423093,-24.7023406783833,3.87570740642714e-08,0.012713086888850181,-4.338652162648102e-05,0.010124040841004607,0.1408222601544713,-0.12082863574788805,4.43469984156805e-07,0.1271768591353859,-0.023202029193365947,0.12026286547724505,1.335696301186855,-1.272835875564913,-7.236267187391475e-09,0.001593424066458407,7.338330977176878e-05,0.0010535323535994373,0.01686484182695963,-0.016706182664247532
S047_128,-0.00018459484554915758,3.4670875263997263,0.0017891104233576233,2.222505863301363,30.304845843153156,-47.959140292318374,8.636142683595638e-15,4.721545163529825,0.0592790554367586,2.60869449353327,50.4776381177033,-57.8774813126502,1.0890054516063008e-07,0.024107210159004664,-0.0003238356275526155,0.010479552375018325,0.3373059290864031,-0.24134717678982653,1.756006966538383e-06,0.2441026196102839,-0.013527263334002837,0.12014823210907352,2.5029115949737624,-3.2825333396076974,1.4349124599757534e-08,0.0029765775419215053,4.1051618814735846e-05,0.0011585468636642095,0.03908827483218014,-0.03391263878487194
S048_128,7.324771319082451e-05,10.899083860993429,0.009338949871228464,2.3681988515951033,156.35186799223857,-187.1949600437797,-7.587597887369852e-15,15.43372901432513,-0.013005676294356151,2.4869484589627797,266.253146900901,-282.901995144596,9.734929465383076e-08,0.058062123835365215,3.344953428741082e-05,0.01358620845724881,0.9987647670935345,-1.109629575989377,4.65125272348483e-06,0.6738062856951217,-0.0197160045999911,0.149417255853262,11.19020934565848,-12.627946118300953,7.496801332538045e-09,0.006483486219976082,8.325572046737062e-05,0.0014392350218457553,0.12398479486539404,-0.12031916413746946
