name,series_len,max_shape,min_shapes,avg_shape,std_shape,indx_max,indx_min,pos_max,pos_min,num_crops,num_peaks,num_zero_len,Q1,Q3,IQR,max_x_raw,min_x_raw,max_x_filtered,min_x_filtered,Q1-1.5IQR,Q3+1.5IQR,Q1-3IQR,Q3+3IQR,90thP,10thP,95thP,05thP,01thP,99thP,below_1.5IQR,above_1.5IQR,below_3IQR,above_3IQR,below_10th,above_90th,below_05th,above_95th,below_01th,above_99th
S098_250.mat,450000,479,82,241,41,1743,633,417994,143310,1867,1867,0,220.0,263.0,43.0,142.041567134178,-154.322006012266,114.89632073134412,-114.23900453481161,155.5,327.5,91.0,392.0,283.0,193.60000000000002,307.0,170.3,122.66,362.3399999999999,55,54,2,6,187,186,94,91,19,19
S099_250.mat,450000,373,63,190,32,0,792,373,152758,2358,2358,0,177.0,208.0,31.0,35.6135060044551,-43.6242762626726,26.080828085125866,-28.126016664408915,130.5,254.5,84.0,301.0,225.0,157.0,244.1500000000001,134.85000000000002,99.0,281.0,103,80,7,11,235,227,118,118,21,22
S100_250.mat,450000,339,61,179,33,0,63,339,12632,2505,2505,0,161.0,194.0,33.0,61.7942711383433,-60.3356225420841,29.648709311851697,-40.66416698007535,111.5,243.5,62.0,293.0,221.0,145.0,240.0,122.0,90.0,276.96000000000004,94,111,1,11,242,247,122,120,24,26
S101_250.mat,450000,368,64,186,43,1909,1735,356417,325793,2412,2412,0,157.0,214.0,57.0,219.758255519954,-248.274792948582,176.65235693445516,-208.49923812457223,71.5,299.5,-14.0,385.0,236.0,134.0,259.0,119.0,87.0,305.8899999999999,4,36,0,0,234,240,117,120,24,25
S102_250.mat,450000,309,49,148,26,1948,2903,289436,430069,3037,3037,0,137.0,161.0,24.0,438.747285434494,-376.702379097499,391.0545858502311,-371.85725814627585,101.0,197.0,65.0,233.0,177.0,115.0,191.0,101.0,77.0,224.0,145,116,9,19,284,301,145,146,29,30
S103_250.mat,450000,307,68,175,30,192,2167,36671,387735,2565,2565,0,165.0,186.0,21.0,192.197844076788,-229.499471030123,139.743217160985,-188.83310740538653,133.5,217.5,102.0,249.0,205.5999999999999,142.0,227.0,117.0,89.0,269.3600000000001,208,180,69,60,250,257,128,127,25,26
S104_250.mat,450000,368,58,154,37,1419,186,202267,29173,2914,2914,0,129.0,175.0,46.0,155.01501974023,-186.249765869411,139.31413966827552,-183.17601019865174,60.0,244.0,-9.0,313.0,200.0,114.0,224.0,98.0,79.0,259.0,1,72,0,3,284,289,138,144,28,28
S105_250.mat,450000,442,69,186,53,665,916,131666,181327,2409,2409,0,146.0,228.0,82.0,85.6927418740658,-55.9888592524477,46.69570082495461,-55.08296337910698,23.0,351.0,-100.0,474.0,258.0,129.0,277.0,111.4,84.08,336.0,0,15,0,0,238,236,121,116,25,24
S106_250.mat,450000,378,67,185,42,216,272,41199,53340,2428,2428,0,163.0,206.0,43.0,188.522395675746,-294.01801680123,136.1223780982935,-166.37366898020514,98.5,270.5,34.0,335.0,236.30000000000018,136.0,259.0,112.35000000000001,84.27,305.73,62,93,0,10,241,243,122,117,25,25
S107_250.mat,450000,364304,79,22,143,85,566,380375,461981,591,591,2,159.0,185.0,26.0,59.9706500739043,-63.01225507163,35.619855080087255,-39.573698563340336,120.0,224.0,81.0,263.0,201.0,149.0,219.5,129.0,87.8,251.10000000000025,26,24,4,5,58,58,29,30,6,6
S108_250.mat,450000,436,73,243,38,564,1149,141763,291541,1847,1847,0,223.5,263.0,39.5,46.1194089196427,-50.7852800144658,34.7504743922108,-32.25077457475228,164.25,322.25,105.0,381.5,283.0,196.0,305.6999999999998,180.0,139.0,358.53999999999996,56,59,1,7,184,184,90,93,18,19
S109_250.mat,450000,544,85,29,40,1164,228,326050,63887,1577,1577,0,266.0,304.0,38.0,158.96371792952,-187.131466839757,160.04012207180642,-148.8228036691632,209.0,361.0,152.0,418.0,326.0,243.0,348.39999999999964,221.0,167.0,401.48,54,59,12,10,157,157,77,79,15,16
S110_250.mat,450000,267,55,128,29,2924,226,373946,25875,3509,3509,0,111.0,147.0,36.0,152.973543288019,-184.919564108935,107.65234107969013,-135.19141182973547,57.0,201.0,3.0,255.0,162.0,93.0,182.0,82.0,66.08,218.0,1,83,0,2,338,344,171,172,36,34
S111_250.mat,450000,418,81,232,43,1138,1314,258023,300350,1938,1938,0,212.0,249.0,37.0,174.397122252829,-188.625300853436,163.19327592271412,-189.68149238800163,156.5,304.5,101.0,360.0,284.0,176.70000000000002,313.0,152.0,115.37,349.25999999999976,112,122,7,11,194,192,95,94,20,20
S112_250.mat,450000,378,75,198,39,0,1648,378,331420,2262,2262,0,173.0,222.0,49.0,53.3227973013956,-46.1831000226259,45.50996466051254,-33.93398737313796,99.5,295.5,26.0,369.0,242.0,149.0,264.0,134.05,108.0,310.77999999999975,13,37,0,3,226,224,114,111,22,23
S113_250.mat,450000,324,69,174,33,2288,937,392732,162140,2585,2585,0,158.0,188.0,30.0,48.316644313783,-42.2122378865095,33.06777897866302,-34.77103985037753,113.0,233.0,68.0,278.0,213.0,140.40000000000003,232.0,118.0,86.0,273.15999999999985,111,123,0,21,259,253,128,128,21,26
S114_250.mat,450000,437,77,243,43,337,68,78325,16645,1851,1851,0,220.0,267.0,47.0,92.5283467953279,-113.901773721001,80.05718116151421,-99.32968069490938,149.5,337.5,79.0,408.0,288.0,188.0,312.0,168.5,118.5,354.5,48,41,1,3,184,180,93,90,19,19
S115_250.mat,450000,351,76,195,31,1617,1159,313763,217374,2298,2298,0,178.0,215.0,37.0,51.4142940688412,-43.1985010869179,36.99405875631861,-38.63682145707062,122.5,270.5,67.0,326.0,233.0,164.0,245.0,153.85000000000002,110.97,282.0300000000002,38,39,0,6,221,229,115,110,23,23
S116_250.mat,450000,13705,74,240,160,1540,211,370601,46371,1870,1870,0,208.0,241.0,33.0,38.9875143671387,-35.2451631772935,26.573753361807114,-32.20701936808245,158.5,290.5,109.0,340.0,258.0,187.0,284.54999999999995,165.45,123.0,342.30999999999995,78,78,11,20,186,186,94,94,17,19
S117_250.mat,450000,425,65,202,38,0,1060,425,221056,2218,2218,0,182.0,224.0,42.0,14.7473857054773,-15.8006140543491,8.446485545432031,-10.914093096097531,119.0,287.0,56.0,350.0,249.0,166.0,263.0,132.85000000000002,97.17,299.8299999999999,79,45,0,3,221,217,111,107,23,23
S118_250.mat,450000,375,70,186,39,289,71,59618,15041,2413,2413,0,159.0,208.0,49.0,47.6379133945871,-50.8640359289681,39.160683237128495,-42.212488040630234,85.5,281.5,12.0,355.0,229.80000000000018,144.0,254.0,123.0,92.0,303.6400000000003,14,51,0,3,236,242,120,120,23,25
S119_250.mat,450000,351,65,175,40,672,600,106691,93764,2566,2566,0,148.0,200.0,52.0,149.778554595319,-173.466111938214,116.8750142555931,-125.63896375010985,70.0,278.0,-8.0,356.0,221.0,126.0,239.0,105.0,78.0,287.3499999999999,5,38,0,0,252,250,124,128,23,26
S121_250.mat,450000,365,66,164,35,1130,616,181122,99825,2729,2729,0,146.0,183.0,37.0,157.935465928441,-184.33927504683,137.8232197866554,-130.29407221930916,90.5,238.5,35.0,294.0,208.0,120.0,227.0,102.0,82.0,259.7199999999998,68,83,0,8,266,271,132,134,27,28
