name,series_len,max_shape,min_shapes,avg_shape,std_shape,indx_max,indx_min,pos_max,pos_min,num_crops,num_peaks,num_zero_len,Q1,Q3,IQR,max_x_raw,min_x_raw,max_x_filtered,min_x_filtered,Q1-1.5IQR,Q3+1.5IQR,Q1-3IQR,Q3+3IQR,90thP,10thP,95thP,05thP,01thP,99thP,below_1.5IQR,above_1.5IQR,below_3IQR,above_3IQR,below_10th,above_90th,below_05th,above_95th,below_01th,above_99th
S021_128.mat,230323,270,27,90,20,2555,848,230322,74371,2556,2556,0,80.0,99.0,19.0,216.754731436751,-178.896338017718,151.93437663235122,-138.31690802780037,51.5,127.5,23.0,156.0,111.0,60.0,123.0,52.0,41.55,147.44999999999982,116,101,0,13,250,244,116,121,26,26
S022_128.mat,230312,326,51,128,22,1792,1030,230311,123942,1793,1793,0,114.0,142.0,28.0,30.5879930872971,-39.2173652590065,25.81626661252092,-26.123308053932803,72.0,184.0,30.0,226.0,158.0,104.0,165.39999999999986,94.0,76.0,191.07999999999993,11,27,0,1,163,168,85,90,17,18
S023_128.mat,230264,310,30,121,24,1899,825,230263,100179,1900,1900,0,113.0,131.0,18.0,275.491187767075,-193.032037005405,130.05541686433844,-132.2861768712573,86.0,158.0,59.0,185.0,147.0,94.0,160.0,75.0,50.0,190.0,136,103,44,21,185,189,94,92,16,18
S024_128.mat,230458,270,30,85,14,2704,2478,230457,210402,2705,2705,0,81.0,92.0,11.0,124.967406262803,-98.9318755487679,96.14984814734282,-83.26623549129098,64.5,108.5,48.0,125.0,99.0,69.0,108.0,56.20000000000002,44.0,128.0,223,133,52,36,258,258,136,133,24,27
S025_128.mat,230333,261,34,90,15,2540,1853,230331,166771,2541,2541,0,86.0,97.0,11.0,24.9913603501306,-22.8270051860454,17.857479350614458,-14.692817565476181,69.5,113.5,53.0,130.0,103.0,74.0,110.0,56.0,49.0,133.0,200,104,86,32,243,234,114,126,21,25
S026_128.mat,230371,239,27,73,15,3129,2973,230369,218821,3130,3130,0,64.0,81.0,17.0,136.142521029633,-153.300409076849,83.0841653575047,-83.06219445999336,38.5,106.5,13.0,132.0,90.0,54.0,98.0,48.0,39.29,113.0,27,69,0,4,306,303,153,144,32,30
S027_128.mat,230323,301,29,95,26,2414,953,230322,89108,2415,2415,0,67.5,115.0,47.5,65.3181310517789,-50.1708953499107,33.960818109281874,-33.05040649512182,-3.75,186.25,-75.0,257.5,127.0,61.0,135.29999999999973,55.0,44.0,153.86000000000013,0,1,0,1,235,229,111,121,19,25
S028_128.mat,230297,334,38,136,21,1680,394,230296,52100,1681,1681,0,130.0,144.0,14.0,214.611695542291,-199.009047449642,154.62820828872898,-144.4277625497748,109.0,165.0,88.0,186.0,159.0,114.0,172.0,100.0,79.0,200.0,124,119,33,40,164,160,77,82,16,16
S029_128.mat,230289,227,29,100,24,2294,1670,230287,166879,2295,2295,0,88.0,113.0,25.0,627.595770147794,-581.177547400369,296.7893634591559,-366.85166579456677,50.5,150.5,13.0,188.0,124.0,60.0,137.29999999999973,56.0,43.0,163.05999999999995,70,55,0,1,217,214,105,115,20,23
S030_128.mat,230359,289,30,87,20,2624,1747,230358,150571,2625,2625,0,76.0,99.0,23.0,280.329374234776,-391.249091627796,216.7401832390371,-309.5941164220305,41.5,133.5,7.0,168.0,111.0,62.0,122.0,55.20000000000002,42.0,141.51999999999953,21,56,0,3,253,257,132,120,21,27
